"id","accession number","title","who","image","when","date","numTags"
15269,"2006.235.244","Portrait of a Lady",,"http://images.metmuseum.org/CRDImages/ap/original/APS6765.jpg","1000 B.C.-A.D. 1",,1
15274,"2006.235.229","Portrait of a Gentleman",,"http://images.metmuseum.org/CRDImages/ap/original/APS6753.jpg","1000 B.C.-A.D. 1",,1
15275,"2006.235.65","Portrait of a Lady",,"http://images.metmuseum.org/CRDImages/ap/original/APS6847.jpg",,"ca. 1900",1
15281,"2006.235.292","Portrait of a Boy",,"http://images.metmuseum.org/CRDImages/ap/original/APS6901.jpg","1000 B.C.-A.D. 1",,1
15295,"2006.235.59","Portrait of a Lady",,"http://images.metmuseum.org/CRDImages/ap/original/APS6886.jpg","A.D. 1800-1900","1810–15",2
15305,"2006.235.119","Portrait of a Lady","Anna Claypoole Peale","http://images.metmuseum.org/CRDImages/ap/original/APS6625.jpg","A.D. 1800-1900","1822",1
15309,"2006.235.231","Portrait of a Gentleman",,"http://images.metmuseum.org/CRDImages/ap/original/APS6754.jpg","A.D. 1800-1900","ca. 1830",1
15451,"50.130.148t recto","Woman Sketching, Various Portrait Studies (from Switzerland 1870 Sketchbook)","John Singer Sargent","http://images.metmuseum.org/CRDImages/ap/original/244401.jpg","A.D. 1800-1900","1870",3
15481,"1992.311.1","Portrait of a Gentleman","William Verstille","http://images.metmuseum.org/CRDImages/ap/original/DP105575.jpg","A.D. 1600-1800","ca. 1785",1
15541,"1996.279","Hugh Hall","John Singleton Copley","http://images.metmuseum.org/CRDImages/ap/original/DT55.jpg","A.D. 1600-1800","1758",1
15575,"50.130.149rr verso","Standing Javanese Dancer, Face, Composition Study (from Sketchbook of Javanese Dancers)","John Singer Sargent","http://images.metmuseum.org/CRDImages/ap/original/298963.jpg","A.D. 1800-1900","1889",2
155779,"2009.300.1101","Headdress",,"http://images.metmuseum.org/CRDImages/ci/original/31.452_31.453_front_CP4.jpg","A.D. 1800-1900","early 19th century",1
155783,"2009.300.1105","Headdress",,"http://images.metmuseum.org/CRDImages/ci/original/31.469_CP4.jpg","A.D. 1800-1900","early 19th century",2
155785,"2009.300.1107","Headdress",,"http://images.metmuseum.org/CRDImages/ci/original/31.471_31.465_front_CP4.jpg","A.D. 1800-1900","early 19th century",2
155786,"2009.300.1108","Headdress",,"http://images.metmuseum.org/CRDImages/ci/original/31.474_front_CP4.jpg","A.D. 1800-1900","19th century",2
