"id","accession number","title","who","image"
187968,"94.11","Portrait of Nathaniel Hawthorne, Executed for the Grolier Club, New York, 1892","Jean-Désiré Ringel d'Illzach","http://images.metmuseum.org/CRDImages/es/original/30725.jpg"
187969,"94.12","Portrait of W.H. Vanderbilt","Jean-Désiré Ringel d'Illzach","http://images.metmuseum.org/CRDImages/es/original/30726.jpg"
188031,"96.12.11,12","Marriage Token of August and Helene Bachofen von Echt","Anton Scharff","http://images.metmuseum.org/CRDImages/es/original/32103.jpg"
18830,"2005.90a, b","Portrait of a Lady","Daniel F. Ames","http://images.metmuseum.org/CRDImages/ap/original/DP118423.jpg"
188346,"97.15.24","Portrait of Adolphe Brongniart, of the Academy of Sciences, 1880","Louis-Oscar Roty","http://images.metmuseum.org/CRDImages/es/original/1865(d10.jpg"
189227,"07.95.6","Dr. J. Parrat","Paul Dubois","http://images.metmuseum.org/CRDImages/es/original/1997.jpg"
189542,"07.225.279","Bust of Henri IV in oval medallion with blue ground supported by two cupids",,"http://images.metmuseum.org/CRDImages/es/original/4187.jpg"
189643,"07.225.378.a","Child","François Duquesnoy","http://images.metmuseum.org/CRDImages/es/original/5184.jpg"
189758,"07.225.505b","Female bust on an oval medallion draped with a garland (one of a pair)",,"http://images.metmuseum.org/CRDImages/es/original/5126.jpg"
189794,"07.225.510.39a, b","Busts",,"http://images.metmuseum.org/CRDImages/es/original/DP109778.jpg"
189869,"07.225.510.118","Female bust",,"http://images.metmuseum.org/CRDImages/es/original/DP278496.jpg"
19015,"2006.7","John Neagle","Daniel Dickinson","http://images.metmuseum.org/CRDImages/ap/original/DP132146.jpg"
190710,"08.89.1a, b","Voltaire (Marie François Arouet, 1694–1778)","Jean Antoine Houdon","http://images.metmuseum.org/CRDImages/es/original/14342.jpg"
190711,"08.89.2a, b","Jean Jacques Rousseau (1712–1778)","Jean Antoine Houdon","http://images.metmuseum.org/CRDImages/es/original/117887.jpg"
190746,"08.165","George Washington (1732–1799)",["Tiffany & Co.","Jean Antoine Houdon","Ferdinand Barbedienne"],"http://images.metmuseum.org/CRDImages/es/original/121469.jpg"
191095,"09.10.3","In honor of the Episcopal Jubilee of Cardinal Oppizzoni, Archbishop of Bologna","Maldini","http://images.metmuseum.org/CRDImages/es/original/5047.jpg"
191115,"09.47.1","The Lincoln Centenary, 1909","Jules Èdouard Roiné","http://images.metmuseum.org/CRDImages/es/original/5892.jpg"
191127,"09.112.1","In Honor of the 300th Anniversary of the Birth of Gustavus Adolphus","Adolf Lindberg","http://images.metmuseum.org/CRDImages/es/original/6039.jpg"
191489,"10.116.1","Victor Amadeus III of Savoy, IV of Sardinia (born 1726, reigned 1773–96)",,"http://images.metmuseum.org/CRDImages/es/original/8135.jpg"
191566,"10.125.628","Portrait",,"http://images.metmuseum.org/CRDImages/es/original/17618.jpg"
191567,"10.125.629","Portrait",,"http://images.metmuseum.org/CRDImages/es/original/17619.jpg"
191818,"11.182.1","Francesco Sforza (1401–1466), Fourth Duke of Milan (r. 1450–66)",,"http://images.metmuseum.org/CRDImages/es/original/11567.jpg"
191850,"12.12.6","The Head of Mrs. Russell","Auguste Rodin","http://images.metmuseum.org/CRDImages/es/original/ES267.jpg"
19230,"15.152.5","Portrait of Paul de Kock","John Sloan","http://images.metmuseum.org/CRDImages/ap/original/sf15.152.5.jpg"
19232,"16.84","Head of a Spanish Peasant","Gertrude Vanderbilt Whitney","http://images.metmuseum.org/CRDImages/ap/original/34087.jpg"
192325,"13.92.2","Portrait of Hercules I (d'Este), 1431-1505, Second Duke of Ferrara","Foligno","http://images.metmuseum.org/CRDImages/es/original/16630.jpg"
192362,"13.155","Saint John the Baptist",,"http://images.metmuseum.org/CRDImages/es/original/18806.jpg"
192363,"13.157.1a, b","Renaissance-style bust of the boy Christ",,"http://images.metmuseum.org/CRDImages/es/original/18829.jpg"
19260,"1996.552","Portrait of a Girl","Robert Henri","http://images.metmuseum.org/CRDImages/ap/original/262458.jpg"
192711,"14.40.670","Louise Brongniart","Jean Antoine Houdon","http://images.metmuseum.org/CRDImages/es/original/DP105161.jpg"
192715,"14.40.674","Cardinal Guillaume d'Estouteville (1403–1483), Bishop of Ostia and Cardinal Archbishop of Rouen","Mino da Fiesole (Mino di Giovanni)","http://images.metmuseum.org/CRDImages/es/original/DP241472.jpg"
192717,"14.40.676","Julius Caesar","Andrea di Pietro di Marco Ferrucci","http://images.metmuseum.org/CRDImages/es/original/ES7940.jpg"
192723,"14.40.683","Henri III (1551–1589)","Germain Pilon","http://images.metmuseum.org/CRDImages/es/original/23403.jpg"
192728,"14.40.688","Young St. John the Baptist","Mino da Fiesole (Mino di Giovanni)","http://images.metmuseum.org/CRDImages/es/original/23392.jpg"
192742,"14.40.701","Portrait of an unidentified gentleman","Léonard Limosin","http://images.metmuseum.org/CRDImages/es/original/150677.jpg"
192859,"14.58.133","John Paul Jones (d. 1792)","Jean Antoine Houdon","http://images.metmuseum.org/CRDImages/es/original/22389.jpg"
192901,"14.58.235","George Washington","Giuseppe Ceracchi","http://images.metmuseum.org/CRDImages/es/original/DT2029.jpg"
193106,"14.132.2","Democritus",["Wedgwood  Bentley","Anthony Keeling"],"http://images.metmuseum.org/CRDImages/es/original/26785.jpg"
